"id","company_name","establishment_name","ein","street_address","city","state","zip_code","naics_code","industry_description","annual_average_employees","total_hours_worked","no_injuries_illnesses","total_deaths","total_dafw_cases","total_djtr_cases","total_other_cases","total_dafw_days","total_djtr_days","total_injuries","total_poisonings","total_respiratory_conditions","total_skin_disorders","total_hearing_loss","total_other_illnesses","establishment_id","establishment_type","size","year_filing_for","created_timestamp","change_reason"
1090604,"A&M Roofing Services, LLC","A&M Roofing Services, LLC","261369450","123 Tewksbury Street","ANDOVER","MA","01810",238160," Roofing contractors ",64,142152,1,0,3,0,2,125,0,3,0,0,0,0,2,274198,1,2,2020,1/4/2021 16:30:31,
1090606,,"Prim Industrial Contractors, INC","582005148","10724 Estes Rd","Macon","GA","31210",238160," Roof painting, spraying, or coating ",48,117875,2,0,0,0,0,0,0,0,0,0,0,0,0,649978,1,2,2020,1/4/2021 16:33:46,
1090682,,"Medford Roofing, Inc","273343484","3687 Summer Ave.","Memphis","TN","38122",238160," Roof membrane installation ",24,40608,2,0,0,0,0,0,0,0,0,0,0,0,0,53576,1,2,2020,1/11/2021 14:59:51,"Correcting number if employees"
1090734,"COMMERCIAL INDUSTRIAL ROOFING, INC","COMMERCIAL INDUSTRIAL ROOFING, INC-LYNNWOOD","911086335","3601 121ST STREET SW","LYNNWOOD, WA","WA","98087",238160," Roofing contractors ",54,112369,1,0,0,1,1,0,43,2,0,0,0,0,0,576163,1,2,2020,1/4/2021 18:17:38,
1090738,"AR Roofing","Wichita Office","050571696","4010 West Irving","Wichta","KS","67209",238160," Asphalt roof shingle installation ",25,52000,2,0,0,0,0,0,0,0,0,0,0,0,0,589120,1,2,2020,1/4/2021 18:24:59,
1090790,,"DePinho Roofing Inc.","330589690","2832 N. Olive Avenue","Orange","CA","92865",238160," Asphalt roof shingle installation ",63,116950,1,0,2,3,0,32,71,5,0,0,0,0,0,291960,1,2,2020,1/4/2021 19:11:33,
1090821,"Lloyd Roofing Company,  Inc.","Lloyd Roofing Company, Inc.","570370176","2415 Montague Avenue Extension","Greenwood","SC","29649",238160," Roofing contractors ",68,159518,1,0,1,0,0,75,0,1,0,0,0,0,0,542098,1,2,2020,1/4/2021 19:29:15,
1090841,"Crawford Roofing Experts","Crawford Roofing Experts","320359884","900 National Parkway, Suite 260","Schaumburg","IL","60173",238160," Low slope roofing installation ",24,35539,2,0,0,0,0,0,0,0,0,0,0,0,0,589760,1,1,2020,1/4/2021 19:45:23,
1090902,"Roof Control Services, Inc.","Roof Control Services","352141002","936  10th St.","Clermont","FL","34711",238160," Roofing contractors ",50,87935,2,0,0,0,0,0,0,0,0,0,0,0,0,362471,1,2,2020,1/4/2021 20:29:30,
1090950,"Enterprise Roofing Service, Inc.","Enterprise Roofing Service, Inc.","941551712","2400 Bates Avenue","Concord","CA","94520",238160," Roofing contractors ",88,153010,2,0,0,0,0,0,0,0,0,0,0,0,0,92052,1,2,2020,1/4/2021 21:08:18,
1090972,"Veterans National Property Services","Veterans National Property Services","471304777","14034 N Florida Ave","Tampa","FL","33613",238160," Asphalt roof shingle installation ",20,34477,1,0,0,1,0,0,28,1,0,0,0,0,0,542790,1,2,2020,1/4/2021 21:34:15,
1091179,"Quality Roofers and Guttering, Inc","Quality Roofers and Guttering, Inc",,"100 Church St","Jacksonville","NC","28540",238160," Roofing contractors ",39,63747,2,0,0,0,0,0,0,0,0,0,0,0,0,483094,1,2,2020,1/5/2021 15:22:02,
1091263,"Dale Crampton Company","Dale Crampton Company","710383793","710 Division Street","Fort Smith","AR","72904",238160," Roofing contractors ",24,49102,2,0,0,0,0,0,0,0,0,0,0,0,0,410418,1,2,2020,1/5/2021 16:20:05,
1091316,"Hertless Brothers Roofing, Inc.","Hertless Brothers Roofing, Inc.","202009976","1733 Arlington Rd","Richmond","VA","23230",238160," Roofing contractors ",20,36136,2,0,0,0,0,0,0,0,0,0,0,0,0,363014,1,2,2020,1/5/2021 16:47:29,
1091363,"Miller Painting Company, Inc.","Miller Painting Company, Inc.","580979409","6411 Garrard Avenue","Savannah","GA","31405",238160," Painting, spraying, or coating, roof ",40,66523,2,0,0,0,0,0,0,0,0,0,0,0,0,410531,1,2,2020,1/5/2021 17:18:30,
1091517,"Shay Roofing Inc","Shay REoofing Inc",,"400 South Breese","Millstadt ","IL","62260",238160," Asphalt roof shingle installation ",58,87662,1,0,1,0,0,155,0,1,0,0,0,0,0,97118,1,2,2020,1/5/2021 18:56:15,
1091543,"TRANS COASTAL CONSTRUCTION ","TRANS COASTAL CONSTRUCTION ","591566091","1425 WILKINS AVENUE ","WPB ","FL","33401",238160," Roofing contractors ",20,27485,2,0,0,0,0,0,0,0,0,0,0,0,0,265003,1,2,2020,1/5/2021 19:09:37,
1091614,"Apple Roofing Corp.","Apple Roofing",,"124 Pickard Drive East","Syracuse","NY","13211",238160," Roofing contractors ",39,66601,1,0,1,0,0,2,0,1,0,0,0,0,0,51222,1,2,2020,1/5/2021 19:47:01,
1091779,"R. E. Primm & Company    DBA Primm Roofing ","Apollo Primm Atlanta Inc ","582065838","5442 FRONTAGE ROAD, SUITE 110","FOREST PARK","GA","30297",238160," Roofing contractors ",25,48783,2,0,0,0,0,0,0,0,0,0,0,0,0,645335,1,2,2020,1/5/2021 20:57:30,
1091842,"Crawford Roofing INC.","Crawford Roofing ","730951924","701 Pikes Peak Road","Chickasha","OK","73018",238160," Roofing contractors ",29,26063,2,0,0,0,0,0,0,0,0,0,0,0,0,351665,1,2,2020,1/5/2021 21:51:22,
1091868,"Red Pointe Roofing, LP","Red Pointe Roofing, LP","900957014","1814 N. Neville Street","Orange","CA","92865",238160," Roofing contractors ",101,210358,1,0,0,3,0,0,52,3,0,0,0,0,0,469590,1,2,2020,1/5/2021 22:18:20,
1091927,"NorCal Painters Inc DBA: CertaPro Painters of San Francisco","NORCAL Painters Inc OSHA Form 300A",,"60 29th Street #241","San Francisco","CA","94110",238160," Painting, spraying, or coating, roof ",30,48000,1,0,1,0,0,3,0,1,0,0,0,0,0,433349,1,2,2020,1/6/2021 5:31:06,
1092063,"Stonewater Roofing","Stonewater Roofing","273642939","605 S. Broadway","Tyler","TX","75701",238160," Roofing contractors ",50,2000,1,0,0,1,0,0,56,1,0,0,0,0,0,650365,1,2,2020,1/6/2021 14:52:41,
1092113,"Watts & Associates Roofing Inc","Watts & Associates Roofing Inc",,"7416 Fairfield Road","Columbia","SC","29203",238160," Roofing contractors ",54,108856,2,0,0,0,0,0,0,0,0,0,0,0,0,171479,1,2,2020,1/6/2021 15:21:08,
1092180,"Total Quality Roofing,Inc.","Total Quality Roofing,Inc.","593406730","6994 Duck Cove Rd","Tallahassee","FL","32312",238160," Roofing contractors ",28,37296,2,0,0,0,0,0,0,0,0,0,0,0,0,261351,1,2,2020,1/6/2021 16:12:27,
1092254,"Amundson Roofing, Inc","Amundson Roofing, Inc","860891134","8995 Terrabyte Drive, Suite H","Reno","NV","89521",238160," Roofing contractors ",35,70000,1,0,0,0,1,0,0,1,0,0,0,0,0,650411,1,2,2020,1/6/2021 16:47:35,
1092371,"Roof Maintenance Systems","Roof Maintenance Systems","222016917","1060 Route 33","Freehold","NJ","07728",238160," Roofing contractors ",19,30075,1,0,0,0,1,0,0,1,0,0,0,0,0,265642,1,2,2020,1/6/2021 17:50:16,
1092465,"Noffke Roofing Co, LLC","Noffke Roofing","043668289","10341 N Granville Rd","Mequon","WI","530973506",238160," Roofing contractors ",41,69149,2,0,0,0,0,0,0,0,0,0,0,0,0,209718,1,2,2020,1/6/2021 18:35:14,
1092662,"Industrial Roofing & Siding Co","Industrial Roofing & Siding Co","203476457","9 FERRY RD","LEWISTON","ME","042401005",238160," Roofing contractors ",91,185243,1,0,0,4,2,0,14,6,0,0,0,0,0,650499,1,2,2020,1/6/2021 19:44:05,
1092676,"Charter Roofing Co., Inc.","Charter Roofing","742123832","6126 Scarlet Drive.","Houston","TX","77048",238160," Roofing contractors ",45,88854,1,0,1,0,0,93,45,1,0,0,0,0,0,422422,1,2,2020,1/6/2021 19:49:11,
