id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
1753841,,Jim Giese Commercial Roofing,421250099,10410 Silverwood Dr,Dubuque,IA,52003,238160,Low slope roofing installation,39,72873,2,0,0,0,0,0,0,0,0,0,0,0,0,79042,1,2,2022,1/3/2023,
1753871,Paul Saunders Roofing Co Inc,Paul Saunders Roofing Co Inc,541451205,129 Richmond Hwy,Richmond,VA,23224,238160,Asphalt roof shingle installation,25,30078,1,0,1,0,0,124,0,1,0,0,0,0,0,899122,1,2,2022,1/3/2023,
1753922,Gluth Brothers Roofing Company Inc.,Gluth Brothers Roofing Company Inc.,351850178,6701 Osborn Avenue,Hammond,IN,46323,238160,Roof membrane installation,51,75521,2,0,0,0,0,0,0,0,0,0,0,0,0,690955,1,2,2022,1/3/2023,
1753943,"Medford Roofing, Inc.","Medford Roofing, Inc.",273343484,3687 Summer Ave,Memphis,TN,38122,238160,Roof membrane installation,26,42964,2,0,0,0,0,0,0,0,0,0,0,0,0,915379,1,2,2022,1/3/2023,
1753956,,"Medford Roofing, Inc",273343484,3687 Summer Ave.,Memphis,TN,38122,238160,Roof membrane installation,26,42964,2,0,0,0,0,0,0,0,0,0,0,0,0,53576,1,2,2022,1/3/2023,
1753996,"Infinity Metal Systems, Inc.","Infinity Metal Systems, Inc.",811987602,5461 N. Lake Dr.,Lake City,GA,30260,238160,Sheet metal roofing installation,22,45760,2,0,0,0,0,0,0,0,0,0,0,0,0,897570,1,2,2022,1/3/2023,
1754045,"Lloyd Roofing Company,  Inc.","Lloyd Roofing Company, Inc.",570370176,2415 Montague Avenue Extension,Greenwood,SC,29649,238160,Roofing contractors,67,139930,1,0,1,0,1,20,0,2,0,0,0,0,0,542098,1,2,2022,1/3/2023,Entered incorrect number of hours worked
1754284,"Rain King, Inc.","Rain King, Inc.",742775327,2006 Delmar,Victoria,TX,77901,238160,Roof membrane installation,49,92837,2,0,0,0,0,0,0,0,0,0,0,0,0,216087,1,2,2022,1/3/2023,
1754367,"DePinho Roofing, Inc.","DePinho Roofing, Inc.",330589690,"2832 N Olive Ave, 2832 N. Olive Ave",Orange,CA,92865,238160,Roofing contractors,65,133136,1,0,5,10,3,98,445,17,0,0,1,0,0,915585,1,2,2022,1/3/2023,
1754397,CROWN ROOFING,OAKS ENTERPRISES INC.,,92582 CAPE ARAGO HWY,COOS BAY,OR,97420,238160,Roofing contractors,6,9139,2,0,0,0,0,0,0,0,0,0,0,0,0,52737,1,2,2022,1/3/2023,
1754441,,"Jonesboro Roofing Co., Inc.",,2900 Washington Spur,Jonesboro,AR,72401,238160,Roofing Contractors,7,179415,1,0,2,0,1,285,0,3,0,0,0,0,0,56957,1,2,2022,1/3/2023,
1754560,- Select -,Quaglino Roofing,952507376,815 Fiero Lane,San Luis Obispo,CA,93401,238160,Roofing contractors,48,96303,1,0,1,0,1,175,0,2,0,0,0,0,0,285740,1,2,2022,1/3/2023,
1754776,"W. James Taylor, Inc.  d/b/a Jim Taylor, Inc.",WJT Belleville,,1127 East B Street,Belleville,IL,62220,238160,Low slope roofing installation,74,87318,2,0,0,0,0,0,0,0,0,0,0,0,0,261797,1,2,2022,1/4/2023,
1754782,RSSI Roofing Company,RSSI Roofing Company,274644285,8905 Kelso Drive,Essex,MD,21221,238160,Roofing contractors,52,97651,1,0,0,0,1,0,0,1,0,0,0,0,0,555050,1,2,2022,1/4/2023,
