company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
- Select -|- Select -|39|78836|952507376|- select -||||
10 Men LLC|10 Men LLC|42|2141|264445109|10 men||||
10 Gage Ridge Roofing||0|0||10 gage ridge roofing|10 Gage Ridge Roofing|10gageridgeroofing.com||
101 Industries||0|0||101|101 Industries|www.101industries.com||
180 Contractors||0|0||180|180 Contractors|www.180contractors.com||
1st 4 Roofing Services||0|0||1st 4 roofing|1st 4 Roofing Services|1st4roofing.co.uk||
1st Choice Roofing Company|1st Choice Roofing Company|19|35298|113793690|1st choice roofing|1st Choice Roofing Contractors|1stchoiceroofingvt.com||1st Choice Roofing Co.
1st Roofing Services||0|0||1st roofing|1st Roofing Services|1st4roofingservicesltd.co.uk||
1st Roofing Maple Grove||0|0||1st roofing maple grove|1st Roofing Maple Grove|www.1stroofingmaplegrovemn.com||
3 Clovers Roofing & Construction||0|0||3 clovers roofing|3 Clovers Roofing & Construction|3cloversconstruction.com||
360 Roofing Services||0|0||360 roofing|360 Roofing Services|360roofingservices.com||
3MG Solutions LLC|3MG Solutions LLC|126|257972|850562880|3mg||||
3MG Roofing and Solar||0|0||3mg roofing & solar|3MG Roofing and Solar|3mgroofing.com||
404 Roof Roof Inc|404 Roof Roof Inc|43|89440|934238438|404 roof roof||||
4th Generation - Flat Roofing Services||0|0||4th generation - flat roofing|4th Generation - Flat Roofing Services|unknown||
619 Roofing LLC|619 Roofing LLC|33|68640|830928154|619 roofing||||
A|A|24|60766|160954042|a||||
A & A Roofing Co., Inc.|A & A Roofing Co., Inc.|25|50959|920032279|a & a roofing|A&A Roofing Services|aandaroof.com||A&A Roofing Co. Inc.
A & T Roofing and Exeriors LLC|A & T Roofing and Exeriors LLC|43|39852|872778557|a & t roofing & exeriors||||
A BETTER ROOFING LLC|A BETTER ROOFING LLC|24|23274|850543697|a better roofing||||
A Brooks Roofing Inc|A Brooks Roofing Inc|48|82823|222902030|a brooks roofing||||A Brooks Roofing Inc.
A TITE SEAL, LLC|A TITE SEAL, LLC|11|12020|900516176|a tite seal||||
A Tecta America Company|A Tecta America Company|50|109497|871178714|a tecta america||||
A and C Roofing|A and C Roofing|53|103657|472973229|a & c roofing||||
A&M Roofing Services, LLC|A&M Roofing Services, LLC|65|119342|261369450|a & m roofing||||A&M Roofing Services LLC
A-1 All American Roofing WLA Inc|A-1 All American Roofing WLA Inc|27|49916|753062734|a-1 all american roofing wla||||
A-Lert Roof Systems|A-Lert Roof Systems|9|18924|351463465|a-lert roof||||
A-PLUS ROOFING AND WATERPROOFING LLC|A-PLUS ROOFING AND WATERPROOFING LLC|37|39513|881379812|a-plus roofing & waterproofing||||
A. W. Farrell & Son, Inc.|A. W. Farrell & Son, Inc.|193|441734|160954042|a. w. farrell & son||||A. W. Farrell & Son
A.H. Sturgill Roofing, Inc.|A.H. Sturgill Roofing, Inc.|27|41656|311366660|a.h. sturgill roofing||||A.H. Sturgill Roofing Inc.
A1 Roofing & Construction, LLC|A1 Roofing & Construction, LLC|45|94548|261684819|a1 roofing|A1 Roofing|a1-roofing.net||A1 Roofing
A1 Roofing & Siding LI Corp.|A1 Roofing & Siding LI Corp.|65|132568|113103215|a1 roofing & siding li||||
AAA Roofing Co., Inc.|AAA Roofing Co., Inc.|40|77145|351338095|aaa roofing|AAA ROOFING SERVICES|aaaroofingsvc.com||AAA Roofing Co. Inc.
