company_name|ein|stripped_company_name|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024
- Select -|952507376|- select -|45|41|48|41|39|89227|80856|96303|80386|78836
1 Roof LLC.|813873470|1 roof|10|0|10|0|0|11985|0|10614|0|0
10 Men LLC|264445109|10 men|0|0|40|0|42|0|0|75012|0|2141
1st Choice Roofing Company|113793690|1st choice roofing|0|0|19|20|19|0|0|37880|37156|35298
238160|611356221|238160|0|54|0|0|0|0|108287|0|0|0
3MG Solutions LLC|850562880|3mg|0|0|73|94|126|0|0|183040|186102|257972
404 Roof Roof Inc|934238438|404 roof roof|0|0|0|0|43|0|0|0|0|90000
5 Brothers Absolute|851318159|5 brothers absolute|0|0|0|18|0|0|0|0|30000|0
619 Roofing LLC|830928154|619 roofing|40|35|35|33|33|238160|50752|56965|66000|68640
A & A Roofing Co., Inc.|920032279|a & a roofing|37|32|29|30|25|59216|52702|46304|56024|50959
a & i Roofing, Inc.|680306483|a & i roofing|0|25|30|25|0|0|40000|30000|25000|0
A & T Roofing and Exeriors LLC|872778557|a & t roofing & exeriors|0|0|25|24|43|0|0|17628|27763|39852
A and C Roofing|472973229|a & c roofing|24|44|47|44|53|14382|84838|91851|68582|103657
A BETTER ROOFING LLC|850543697|a better roofing|0|0|12|0|24|0|0|10919|0|23274
A Brooks Roofing Inc|222902030|a brooks roofing|46|47|45|59|48|87380|90364|91737|88745|82823
A GOOD MAN AROUND THE HOUSE LLC|352362167|a good man around the house|0|0|27|0|0|0|0|47476|0|0
A Tecta America Company|871178714|a tecta america|0|58|62|50|50|0|58164|118117|111937|109497
A TITE SEAL, LLC|900516176|a tite seal|0|0|0|0|11|0|0|0|0|12020
A to Z Custom Homes|203384781|a to z custom homes|0|0|25|0|0|0|0|52000|0|0
A&L Solutions LLC|814323059|a & l|0|0|22|22|0|0|0|48717|34492|0
A&M Roofing Services, LLC|261369450|a & m roofing|64|65|65|0|65|142152|135613|139804|0|119342
A-1 All American Roofing WLA Inc|753062734|a-1 all american roofing wla|22|0|0|27|27|49490|0|0|48074|49916
A-Lert Roof Systems|351463465|a-lert roof|0|0|0|10|9|0|0|0|20383|18924
A-PLUS ROOFING AND WATERPROOFING LLC|881379812|a-plus roofing & waterproofing|0|0|38|86|37|0|0|18927|136200|39513
A. C. Dellovade INC|251242514|a. c. dellovade|113|94|0|0|0|231175|127839|0|0|0
A. Preman Roofing, Inc.|200138986|a. preman roofing|0|94|130|135|0|0|228499|274617|307703|0
A. W. Farrell & Son, Inc.|160954042|a. w. farrell & son|31|35|25|27|24|63922|68262|78476|59183|60766
A.A.T ROOFING, LLC|452378115|a.a.t roofing|15|17|0|0|0|23580|26541|0|0|0
A.C.E.S. ROOFING LLC|271995643|a.c.e.s. roofing|9|0|0|0|0|9632|0|0|0|0
A.H. Sturgill Roofing, Inc.|311366660|a.h. sturgill roofing|34|22|24|32|27|58376|35985|41233|53983|41656
A.K.G. INSPECTION SERVICES, INC.|650473292|a.k.g. inspection|8|0|0|0|0|13774|0|0|0|0
A1 Roofing & Construction, LLC|261684819|a1 roofing|0|0|38|42|45|0|0|76059|89097|94548
A1 Roofing & Siding LI Corp.|113103215|a1 roofing & siding li|0|0|0|70|65|0|0|0|129494|132568
AAA Mountain Waterproofing||aaa mountain waterproofing|33|0|0|0|0|67546|0|0|0|0
AAA Roofing|351338095|aaa roofing|60|60|65|391|40|93252|82101|78292|795966|77145
Academy Roofing and Sheet Metal|262559067|academy roofing & sheet metal|89|86|84|92|80|213006|197173|196179|256573|204283
Academy Roofing C|043758635|academy roofing c|0|0|0|0|31|0|0|0|0|79036
Academy Roofing Inc.|840858941|academy roofing|92|0|78|76|82|190849|0|167194|155698|183367
ACE PRO CONTRACTING LLC|813356867|ace pro contracting|29|0|0|0|0|9090|0|0|0|0
Ace Roofing LLC|208967459|ace roofing|0|0|27|30|31|0|0|44632|57696|66139
Acoma Roofing, Inc.|593176319|acoma roofing|0|0|0|26|0|0|0|0|43264|0
ACOSTA ROOFING CONTRACTOR CORP|852686568|acosta roofing contractor|21|0|14|36|29|4056|0|17232|39088|11840
ACTION ROOFING SERVICES LLC|592669101|action roofing|0|0|0|0|135|0|0|0|0|269213
Active Roofing, LLC|873402093|active roofing|0|0|0|44|44|0|0|0|121780|60175
ACW Construction|870637321|acw|21|22|24|21|0|43680|45760|48960|42840|0
AD Roofing LLC|391955623|ad roofing|30|30|20|13|0|42600|30427|23222|21959|0
AD-LER ROOFING, INC|650078011|ad-ler roofing|0|135|90|82|56|0|356763|323953|373666|247985
Adam Roe Painting, Inc.|820445312|adam roe painting|0|0|32|34|34|0|0|45611|52238|47123
Adam Vaillancourt Roofing||adam vaillancourt roofing|0|0|23|30|0|0|0|52132|40568|0
ADAMZ' ROOFING, INC.|208262186|adamz' roofing|0|0|14|0|0|0|0|22658|0|0
Aderhold Roofing|275227926|aderhold roofing|30|0|36|48|0|56816|0|68873|88607|0
Adobe Paint LLC|861022696|adobe paint|0|0|0|48|0|0|0|0|104000|0
Advance Builders Corp|421472372|advance builders|0|0|24|0|0|0|0|50600|0|0
Advanced Industrial Roofing, Inc.||advanced industrial roofing|80|80|80|65|60|109926|115522|119604|105534|99928
Advanced Roof Design, Inc.|470858695|advanced roof design|0|23|0|30|0|0|44520|0|59872|0
Advanced Roofing Inc|382819536|advanced roofing|21|31|35|635|721|34245|46394|61484|133185081|1441112
Advantage Roofing & Exteriors|383507495|advantage roofing & exteriors|35|31|27|29|32|28360|65306|57625|62492|69844
Advantage USAA, Inc|742950238|advantage usaa|0|0|0|0|11|0|0|0|0|22880
Advocate Construction inc|461290497|advocate|0|0|0|217|259|0|0|0|423982|496197
Aetna Roofing Corporation|221860177|aetna roofing|71|87|0|79|88|141219|166928|0|152485|169167
AFFORDABLE RENOVATIONS CLAIMS SPECIALIST,LLC DBA EASE ROOFING|475183877|affordable renovations claims specialistllc dba ease roofing|0|0|0|17|14|0|0|0|39400|35243
AFFORDABLE ROOFING & GUTTERS OF FLORIDA, INC.|263232345|affordable roofing & gutters of florida|0|0|0|0|52|0|0|0|0|74593
AGUIRRE'S ROOFING, INC.|270837042|aguirre's roofing|9|0|11|0|0|9810|0|10505|0|0
Ajl Group LLC||ajl|0|0|0|0|10|0|0|0|0|18720
Alabama Roofing & Sheet Metal Co Inc.|630509232|alabama roofing & sheet metal|37|0|0|23|0|57767|0|0|49986|0
Alan's Roofing Inc.|592954534|alan's roofing|75|0|0|0|0|156000|0|0|0|0
Alcal Specialty Conntracting, Inc|680526024|alcal specialty conntracting|42|36|38|46|166|62152|47869|62606|62257|271724
Alder Sales Corporaton|870109555|alder sales corporaton|32|0|0|0|0|71746|0|0|0|0
Alex Roofing Co., Inc.|251358277|alex roofing|22|26|22|17|13|48200|41686|42575|31710|18285
All American Commercial Roofing Inc.  dba All American Exterior Solutions|364338072|all american commercial roofing inc. dba all american exterior|128|124|108|133|106|192490|181537|178993|232815|172028
All American Roofing & Coating of Florida, Inc.|453797880|all american roofing & coating of florida|0|0|25|0|22|0|0|48606|0|41825
All American Roofing Inc. dba All American Exterior Solutions|363422277|all american roofing inc. dba all american exterior|28|11|11|18|8|32845|9565|12430|27321|10423
All Area Roofing & Waterproofing, Inc|593434736|all area roofing & waterproofing|0|28|28|54762|0|0|52892|54271|26|0
ALL ENERGY SOLAR|272103755|all energy solar|0|0|0|0|184|0|0|0|0|343529
All Pro Construction Services, Inc.|352466754|all pro|44|48|59|43|41|65647|78308|98381|73607|66099
All Roofs of Florida, Inc.|843266657|all roofs of florida|0|0|0|21|20|0|0|0|5368|30444
All Seasons Insulation|900438543|all seasons insulation|0|0|13|17|0|0|0|25985|31417|0
All Seasons Roofing, LLC|204885966|all seasons roofing|0|22|15|18|20|0|27406|28858|42323|41137
All Star Roofing, Inc.|112892662|all star roofing|0|0|0|12|10|0|0|0|20535|20750
All Surface Roofing & Waterproofing|830349436|all surface roofing & waterproofing|27|0|0|0|0|3525940|0|0|0|0
All-South Subcontractors, Inc.||all-south subcontractors|0|75|0|0|87|0|175727|0|0|170015
ALLCON OF GREENVILLE, INC|272855718|allcon of greenville|0|0|0|0|90|0|0|0|0|81961
Allegiance Roof Systems|812689310|allegiance roof|0|0|0|24|0|0|0|0|249600|0
Allen Roofing & Siding, LLC.|881581570|allen roofing & siding|0|0|100|100|100|0|0|77136|145356|159495
Alliance Roofing|853598851|alliance roofing|0|18|19|19|0|0|40233|42015|42379|0
ALLIED ROOFING & SHEET METAL CO., INC.|060935417|allied roofing & sheet metal|0|25|0|0|0|0|26464|0|0|0
Allied Roofing and Waterproofing Inc|141924381|allied roofing & waterproofing|49|0|0|0|0|73775|0|0|0|0
Allied Roofing Inc.|592690416|allied roofing|0|0|0|45|40|0|0|0|77640|69095
Alloy Architectural Solutions|824789224|alloy architectural|0|12|15|0|0|0|17183|22012|0|0
ALLSTATE CONSTRUCTION INC.|311738823|allstate|33|33|34|88|0|63375|56334|60020|154324|0
Allweather Roof|411536214|allweather roof|78|76|79|95|84|134248|129976|138402|165609|164902
Allwine Roofing and Construction|731208349|allwine roofing|0|23|0|0|0|0|35641|0|0|0
Almost Heaven Building Company|870875496|almost heaven building|0|0|0|0|9|0|0|0|0|14027
Alois Roofing & Sheet Metal, LLC|900130347|alois roofing & sheet metal|15|15|15|19|0|21094|25790|22068|29935|0
Alpha Omega Construction Group of Raleigh, Inc.|461848394|alpha omega construction group of raleigh|0|42|29|0|0|0|79714|48711|0|0
Alpha Omega Construction Group, Inc.|263212467|alpha omega|0|154|161|0|0|0|277343|299740|0|0
Alpine Roofing LTD.|832540987|alpine roofing|33|33|30|37|34|70244|61500|54590|74128|69637
ALRON CONSTRUCTION LLC|113842144|alron|0|19|0|0|0|0|30167|0|0|0
ALTON ROOFING SERVICES LLC|475578586|alton roofing|42|60|30|0|0|54567|82500|32574|0|0
Altres Inc. COMMERCIAL ROOFING   WATERPROOFING HAWAI|990302463|altres inc. commercial roofing waterproofing hawai|0|0|0|0|100|0|0|0|0|216537
ALUMA-TILE METAL ROOFING SYSTEMS INC|832237534|aluma-tile metal roofing|0|0|7|0|0|0|0|9438|0|0
Alumni Roofing Co.|341865113|alumni roofing|22|23|23|25|24|42416|44353|44434|44872|43699
ALVA ROOFING COMPANY|731006735|alva roofing|50|50|50|42|48|73071|63871|55221|92919|93149
Am1 Roofing, Inc|931178887|am1 roofing|0|65|0|0|0|0|95647|0|0|0
AMBATT ROOFING, INC.|270106018|ambatt roofing|9|0|13|0|0|15078|0|22468|0|0
AMCO American Roofing Company|870222391|amco american roofing|95|0|88|0|0|195365|0|168619|0|0
American Building Contractors|431924245|american building|0|0|0|0|85|0|0|0|0|175691
American Home Contractors, LLC|882217292|american home|0|0|0|0|25|0|0|0|0|52600
American Roofing & Industrial|853881453|american roofing & industrial|0|0|0|32|0|0|0|0|27720|0
