company_name|ein|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024|pitchbook_list_website|pitchbook_list_company_name|top100_company_name|nrca_list_company_name|affinity_organizations_20250915_141926_company_name|osha_company_name|stripped_company_name
- Select -|952507376|45|41|48|41|39|89227|80856|96303|80386|78836||||||- Select -|- select -
1 Roof LLC.|813873470|10|0|10|0|0|11985|0|10614|0|0||||||1 Roof LLC.|1 roof
10 Men LLC|264445109|0|0|40|0|42|0|0|75012|0|2141||||||10 Men LLC|10 men
10 Gage Ridge Roofing||0|0|0|0|0|0|0|0|0|0|10gageridgeroofing.com|10 Gage Ridge Roofing|||||10 gage ridge roofing
101 Industries||0|0|0|0|0|0|0|0|0|0|www.101industries.com|101 Industries|||||101
180 Contractors||0|0|0|0|0|0|0|0|0|0|www.180contractors.com|180 Contractors|||||180
1st 4 Roofing Services||0|0|0|0|0|0|0|0|0|0|1st4roofing.co.uk|1st 4 Roofing Services|||||1st 4 roofing
1st Choice Roofing Company|113793690|0|0|19|20|19|0|0|37880|37156|35298|1stchoiceroofingvt.com|1st Choice Roofing Contractors||1st Choice Roofing Co.||1st Choice Roofing Company|1st choice roofing
1st Roofing Services||0|0|0|0|0|0|0|0|0|0|1st4roofingservicesltd.co.uk|1st Roofing Services|||||1st roofing
1st Roofing Maple Grove||0|0|0|0|0|0|0|0|0|0|www.1stroofingmaplegrovemn.com|1st Roofing Maple Grove|||||1st roofing maple grove
238160|611356221|0|54|0|0|0|0|108287|0|0|0||||||238160|238160
3 Clovers Roofing & Construction||0|0|0|0|0|0|0|0|0|0|3cloversconstruction.com|3 Clovers Roofing & Construction|||||3 clovers roofing
360 Roofing Services||0|0|0|0|0|0|0|0|0|0|360roofingservices.com|360 Roofing Services|||||360 roofing
3MG Solutions LLC|850562880|0|0|73|94|126|0|0|183040|186102|257972||||||3MG Solutions LLC|3mg
3MG Roofing and Solar||0|0|0|0|0|0|0|0|0|0|3mgroofing.com|3MG Roofing and Solar|||||3mg roofing & solar
404 Roof Roof Inc|934238438|0|0|0|0|43|0|0|0|0|90000||||||404 Roof Roof Inc|404 roof roof
4th Generation - Flat Roofing Services||0|0|0|0|0|0|0|0|0|0|unknown|4th Generation - Flat Roofing Services|||||4th generation - flat roofing
5 Brothers Absolute|851318159|0|0|0|18|0|0|0|0|30000|0||||||5 Brothers Absolute|5 brothers absolute
619 Roofing LLC|830928154|40|35|35|33|33|238160|50752|56965|66000|68640||||||619 Roofing LLC|619 roofing
A & A Roofing Co., Inc.|920032279|37|32|29|30|25|59216|52702|46304|56024|50959|aandaroof.com|A&A Roofing Services||A&A Roofing Co. Inc.||A & A Roofing Co., Inc.|a & a roofing
A & T Roofing and Exeriors LLC|872778557|0|0|25|24|43|0|0|17628|27763|39852||||||A & T Roofing and Exeriors LLC|a & t roofing & exeriors
A BETTER ROOFING LLC|850543697|0|0|12|0|24|0|0|10919|0|23274||||||A BETTER ROOFING LLC|a better roofing
A Brooks Roofing Inc|222902030|46|47|45|59|48|87380|90364|91737|88745|82823||||A Brooks Roofing Inc.||A Brooks Roofing Inc|a brooks roofing
A GOOD MAN AROUND THE HOUSE LLC|352362167|0|0|27|0|0|0|0|47476|0|0||||||A GOOD MAN AROUND THE HOUSE LLC|a good man around the house
A TITE SEAL, LLC|900516176|0|0|0|0|11|0|0|0|0|12020||||||A TITE SEAL, LLC|a tite seal
A Tecta America Company|871178714|0|58|62|50|50|0|58164|118117|111937|109497||||||A Tecta America Company|a tecta america
A and C Roofing|472973229|24|44|47|44|53|14382|84838|91851|68582|103657||||||A and C Roofing|a & c roofing
A to Z Custom Homes|203384781|0|0|25|0|0|0|0|52000|0|0||||||A to Z Custom Homes|a to z custom homes
A&L Solutions LLC|814323059|0|0|22|22|0|0|0|48717|34492|0||||||A&L Solutions LLC|a & l
A&M Roofing Services, LLC|261369450|64|65|65|0|65|142152|135613|139804|0|119342||||A&M Roofing Services LLC||A&M Roofing Services, LLC|a & m roofing
A-1 All American Roofing WLA Inc|753062734|22|0|0|27|27|49490|0|0|48074|49916||||||A-1 All American Roofing WLA Inc|a-1 all american roofing wla
A-Lert Roof Systems|351463465|0|0|0|10|9|0|0|0|20383|18924||||||A-Lert Roof Systems|a-lert roof
A-PLUS ROOFING AND WATERPROOFING LLC|881379812|0|0|38|86|37|0|0|18927|136200|39513||||||A-PLUS ROOFING AND WATERPROOFING LLC|a-plus roofing & waterproofing
A. C. Dellovade INC|251242514|113|94|0|0|0|231175|127839|0|0|0||||||A. C. Dellovade INC|a. c. dellovade
A. Preman Roofing, Inc.|200138986|0|94|130|135|0|0|228499|274617|307703|0||||||A. Preman Roofing, Inc.|a. preman roofing
A. W. Farrell & Son, Inc.|160954042|31|35|25|27|24|63922|68262|78476|59183|60766||||A. W. Farrell & Son||A. W. Farrell & Son, Inc.|a. w. farrell & son
A.A.T ROOFING, LLC|452378115|15|17|0|0|0|23580|26541|0|0|0||||||A.A.T ROOFING, LLC|a.a.t roofing
A.C.E.S. ROOFING LLC|271995643|9|0|0|0|0|9632|0|0|0|0||||||A.C.E.S. ROOFING LLC|a.c.e.s. roofing
A.H. Sturgill Roofing, Inc.|311366660|34|22|24|32|27|58376|35985|41233|53983|41656||||A.H. Sturgill Roofing Inc.||A.H. Sturgill Roofing, Inc.|a.h. sturgill roofing
A.K.G. INSPECTION SERVICES, INC.|650473292|8|0|0|0|0|13774|0|0|0|0||||||A.K.G. INSPECTION SERVICES, INC.|a.k.g. inspection
A1 Roofing & Construction, LLC|261684819|0|0|38|42|45|0|0|76059|89097|94548|a1-roofing.net|A1 Roofing||A1 Roofing|A1 Roofing|A1 Roofing & Construction, LLC|a1 roofing
A1 Roofing & Siding LI Corp.|113103215|0|0|0|70|65|0|0|0|129494|132568||||||A1 Roofing & Siding LI Corp.|a1 roofing & siding li
AAA Mountain Waterproofing||33|0|0|0|0|67546|0|0|0|0||||||AAA Mountain Waterproofing|aaa mountain waterproofing
AAA Roofing|351338095|60|60|65|391|40|93252|82101|78292|795966|77145|aaaroofingsvc.com|AAA ROOFING SERVICES||AAA Roofing Co. Inc.||AAA Roofing|aaa roofing
ACE PRO CONTRACTING LLC|813356867|29|0|0|0|0|9090|0|0|0|0||||||ACE PRO CONTRACTING LLC|ace pro contracting
ACOSTA ROOFING CONTRACTOR CORP|852686568|21|0|14|36|29|4056|0|17232|39088|11840||||||ACOSTA ROOFING CONTRACTOR CORP|acosta roofing contractor
ACTION ROOFING SERVICES LLC|592669101|0|0|0|0|135|0|0|0|0|269213|www.action-roofing.com|Action Roofing (Commercial Services)|Action Roofing Services|Action Roofing||ACTION ROOFING SERVICES LLC|action roofing
ACW Construction|870637321|21|22|24|21|0|43680|45760|48960|42840|0||||||ACW Construction|acw
AD Roofing LLC|391955623|30|30|20|13|0|42600|30427|23222|21959|0||||||AD Roofing LLC|ad roofing
AD-LER ROOFING, INC|650078011|0|135|90|82|56|0|356763|323953|373666|247985||||||AD-LER ROOFING, INC|ad-ler roofing
ADAMZ' ROOFING, INC.|208262186|0|0|14|0|0|0|0|22658|0|0||||||ADAMZ' ROOFING, INC.|adamz' roofing
AFFORDABLE RENOVATIONS CLAIMS SPECIALIST,LLC DBA EASE ROOFING|475183877|0|0|0|17|14|0|0|0|39400|35243||||||AFFORDABLE RENOVATIONS CLAIMS SPECIALIST,LLC DBA EASE ROOFING|affordable renovations claims specialistllc dba ease roofing
AFFORDABLE ROOFING & GUTTERS OF FLORIDA, INC.|263232345|0|0|0|0|52|0|0|0|0|74593||||||AFFORDABLE ROOFING & GUTTERS OF FLORIDA, INC.|affordable roofing & gutters of florida
AGUIRRE'S ROOFING, INC.|270837042|9|0|11|0|0|9810|0|10505|0|0||||||AGUIRRE'S ROOFING, INC.|aguirre's roofing
ALL ENERGY SOLAR|272103755|0|0|0|0|184|0|0|0|0|343529||||||ALL ENERGY SOLAR|all energy solar
