establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
|1 Exam Prep|FL|||||||1 exam prep|false
|1 Valley 2 Peaks|CO|||||||1 valley 2 peaks|false
|10 Men Roofing|NE|||||||10 men roofing|false
|10X Roofing|AZ|||||||10x roofing|false
|1845 Commercial Roofing|TX|||||||1845 commercial roofing|false
|1SEO|PA|||||||1seo|false
1st Choice Roofing Company|1st Choice Roofing Co.|OH|1|2|19|37880|113793690|'1st Choice Roofing Company'|1st choice roofing|false
|1st Class Roofing Inc.|FL|||||||1st class roofing|false
|2nd to None Construction, LLC|AZ|||||||2nd to none construction|false
|316 Construction Group|IA|||||||316|false
|3-D Roof Systems LLC|WA|||||||3-d roof|false
|405 Media Group|AZ|||||||405 media|false
|5 Star Roofing & Restoration, LLC|NC|||||||5 star roofing & restoration|false
|50 North Roofing, Co LLC|NC|||||||50 north roofing|false
|5K Commercial Roofing LLC|OH|||||||5k commercial roofing|false
|5th Generation Services LLC|MO|||||||5th generation|false
|6 Brothers Roofing|WI|||||||6 brothers roofing|false
|7 Summits Roofing LLC|CO|||||||7 summits roofing|false
|838 Coatings LLC|MN|||||||838 coatings|false
|911 Roofing Solutions|WY|||||||911 roofing|false
|A & R Roofing Co. Inc.|ND|||||||a & r roofing|false
A Brooks Roofing Inc|A Brooks Roofing Inc.|NJ|1|2|45|91737|222902030|'A Brooks Roofing Inc'|a brooks roofing|false
|A Good Roofer Inc.|CA|||||||a good roofer|false
|A Grade Construction Inc.|IL|||||||a grade|false
|A Step Above Inc.|NV|||||||a step above|false
|A&A Roofing Co. Inc.|AK|||||||a&a roofing|false
|A&B Commercial Construction LLC|GA|||||||a&b commercial|false
|A&B Exteriors LLC|IL|||||||a&b exteriors|false
|A&M Roofing Services LLC|MA|||||||a&m roofing|false
|A. Brooks Construction Inc. - Kanga Roof|PA|||||||a. brooks construction inc. - kanga roof|false
A. W. Farrell & Son, Inc. - Erie|A. W. Farrell & Son|NV|1|2|35|57513|160954042|'A. W. Farrell & Son, Inc.'|a. w. farrell & son|false
A. W. Farrell & Son, Inc. - Las Vegas|A. W. Farrell & Son|NV|1|2|36|51678|160954042|'A. W. Farrell & Son, Inc.'|a. w. farrell & son|false
A. W. Farrell & Son, Inc. - Plattsburgh|A. W. Farrell & Son|NV|1|2|22|47195|160954042|'A. W. Farrell & Son, Inc.'|a. w. farrell & son|false
A. W. Farrell & Son, Inc. - Dunkirk|A. W. Farrell & Son|NV|1|2|28|46642|160954042|'A. W. Farrell & Son, Inc.'|a. w. farrell & son|false
|A.C. Hathorne Co. a Tecta America Company|VT|||||||a.c. hathorne co. a tecta america|false
|A.C.T. Metal Deck Supply|IL|||||||a.c.t. metal deck supply|false
A.H. Sturgill Roofing, Inc.|A.H. Sturgill Roofing Inc.|OH|1|2|24|41233|311366660|'A.H. Sturgill Roofing, Inc.'|a.h. sturgill roofing|false
|A.R.M. Roofing Inc.|NY|||||||a.r.m. roofing|false
|A.W. Farrell & Son|NY|||||||a.w. farrell & son|false
|A.W. Therrien Co. Inc.|NH|||||||a.w. therrien|false
|A+Home Remodeling Company d/b/a A+ Roofing|IL|||||||a+home remodeling company d/b/a a+ roofing|false
|A-1 All American Roofing, LLC|CA|||||||a-1 all american roofing|false
|A1 Roofing|NY|||||||a1 roofing|false
|A-1 Roofing Co.|IL|||||||a-1 roofing|false
|A-1 Roofing Corporation DBA A-1 All American Roofing|CA|||||||a-1 roofing corporation dba a-1 all american roofing|false
|A-1 Sheet Metal of Ocala Inc. dba Dunnrite Roofing Inc|FL|||||||a-1 sheet metal of ocala inc. dba dunnrite roofing|false
|A2Z|IL|||||||a2z|false
|AA Brite 24/7|AZ|||||||aa brite 24/7|false
|AAA Better Roof Inc.|IL|||||||aaa better roof|false
|AAA Construction School Bookstore|FL|||||||aaa construction school bookstore|false
|AAA Roofing and Waterproofing|ID|||||||aaa roofing and waterproofing|false
|AAA Roofing and Waterproofing|CA|||||||aaa roofing and waterproofing|false
|AAA Roofing and Waterproofing, LLC|CA|||||||aaa roofing and waterproofing|false
|AAA Roofing Co. Inc.|IN|||||||aaa roofing|false
|AAPCO Roofing Systems|TX|||||||aapco roofing|false
|AAR of North Carolina Inc.|NC|||||||aar of north carolina|false
|Aarco Contracting|NY|||||||aarco contracting|false
|Aastro Roofing Company|FL|||||||aastro roofing|false
|AB Construction & Roofing Inc.|NY|||||||ab construction & roofing|false
|AB6 Roofing|TX|||||||ab6 roofing|false
|ABC Roofing, a Tecta America Company, LLC|OR|||||||abc roofing, a tecta america|false
|ABC Supply Co. Inc.|WI|||||||abc supply|false
|A-Best Roofing Inc.|OK|||||||a-best roofing|false
|Above All Construction, LLC|KS|||||||above all construction|false
|Above Roofing LLC|TX|||||||above roofing|false
ABR Construction Inc.|ABR Construction Inc.|KY|1|2|99|167561|610971502|'ABR Construction Inc.'|abr|false
|Absolute Roofing & Waterproofing|TX|||||||absolute roofing & waterproofing|false
|Absolute Roofing and Construction|AR|||||||absolute roofing and|false
|Absolute Roofing and Waterproofing|TX|||||||absolute roofing and waterproofing|false
|AC INC Roofing|CO|||||||ac inc roofing|false
|Academy Roofing & Sheet Metal Co.|IA|||||||academy roofing & sheet metal|false
Academy Roofing Inc.|Academy Roofing Inc.|CO|1|2|78|167194|840858941|'Academy Roofing Inc.'|academy roofing|true
Academy|Academy Roofing Inc.|CO|1|2|32|67799|43758635|'Academy Roofing Corporation'|academy roofing|true
|Accel Commercial Roofing|GA|||||||accel commercial roofing|false
|Accent Roofing Service Inc.|GA|||||||accent roofing service|false
|Accredited Roofing LLC|IL|||||||accredited roofing|false
|Acculynx|WI|||||||acculynx|false
|Accurate Roof Management LLC|WI|||||||accurate roof|false
Ace Roofing LLC|Ace Roofing|MT|1|2|27|44632|208967459|'Ace Roofing LLC'|ace roofing|false
Ace Roofing LLC|Ace Roofing Inc.|LA|1|2|27|44632|208967459|'Ace Roofing LLC'|ace roofing|false
|Ace Screws|NJ|||||||ace screws|false
|Acero Tecnologia S.A.de C.V. (Atecno)|NLE|||||||acero tecnologia s.a.de c.v. (atecno)|false
|Achelpohl Roofing & Sheetmetal, Inc.|SC|||||||achelpohl roofing & sheetmetal|false
|Acme Roofing Sheet Metal Co. Inc.|AL|||||||acme roofing sheet metal|false
|ACN Roofing and Services LLC|FL|||||||acn roofing and|false
|ACR Commercial Roofing|GA|||||||acr commercial roofing|false
|Acron Roofing Systems Inc.|AB|||||||acron roofing|false
|Action Exteriors|TX|||||||action exteriors|false
|Action Roofing|CA|||||||action roofing|false
|Action Roofing & Sheet Metal, Inc.|MI|||||||action roofing & sheet metal|false
|Active Roofing Co. Inc.|IL|||||||active roofing|false
|Active Ventilation Products|NY|||||||active ventilation products|false
|Adail Bastos Inc|CA|||||||adail bastos|false
|Adame Roofing|CO|||||||adame roofing|false
|Adams & Sons Ltd.|WI|||||||adams & sons|false
|Adams and Reese LLP|FL|||||||adams and reese|false
|Adams Roofing Professionals Inc.|IL|||||||adams roofing professionals|false
|ADC Engineering Inc.|SC|||||||adc engineering|false
Aderhold Roofing Corporation|Aderhold Roofing|FL|1|2|36|68873|275227926|'Aderhold Roofing'|aderhold roofing|false
|Adler Hydro Vac|FL|||||||adler hydro vac|false
|Admirable Home Improvement|IL|||||||admirable home improvement|false
|Aduddell Industries|FL|||||||aduddell|false
|Advanced Building Consultants|FL|||||||advanced building consultants|false
|Advanced Contracting Inc|WA|||||||advanced contracting|false
|Advanced Exteriors Inc.|CO|||||||advanced exteriors|false
Advanced Industrial Roofing, Inc.|Advanced Industrial Roofing Inc.|OH|1|2|80|119604||'Advanced Industrial Roofing, Inc.'|advanced industrial roofing|false
|Advanced Metal Works Inc.|CA|||||||advanced metal works|false
|Advanced Roof Design Inc.|CA|||||||advanced roof design|false
|Advanced Roofing Inc.|FL|||||||advanced roofing|false
|Advanced Roofing Services Inc.|CA|||||||advanced roofing|false
|Advanced Roofing Systems Inc.|OH|||||||advanced roofing|false
|Advanced Roofing Systems Inc.|CA|||||||advanced roofing|false
|Advanced Roofing Systems Ltd.|AB|||||||advanced roofing|false
|Advantage USAA Inc.|TX|||||||advantage usaa|false
|AdvantEdge Roofing & Construction Inc.|IL|||||||advantedge roofing &|false
|Advocate Construction|IL|||||||advocate|false
|Advocate Construction|TX|||||||advocate|false
|Advocate Construction|KS|||||||advocate|false
|Advocate Construction|MI|||||||advocate|false
|Advocate Construction|WI|||||||advocate|false
|Advocate Construction|IL|||||||advocate|false
|Advocate Construction|MO|||||||advocate|false
|Advocate Roofing|CO|||||||advocate roofing|false
AECOM DCS (US Operations)|AECOM|VA|1|3|15192|30384975|952661922|'AECOM'|aecom|false
AECOM: CS Federal|AECOM|VA|1|2|48|120190||'AECOM'|aecom|false
Hunt Construction Group|AECOM|VA|1|3|885|1841072||'AECOM'|aecom|false
Tishman Construction Corporation|AECOM|VA|1|3|1154|2185387||'AECOM'|aecom|false
Leading Builders Group LLC (Master)|AECOM|VA|1|2|190|362826||'AECOM'|aecom|false
|AEX CONSULTANTS INC|AZ|||||||aex consultants|false
|AF ROOFING & SIDING INC.|CA|||||||af roofing & siding|false
|AG Roofing And Construction LLC|TX|||||||ag roofing and|false
