establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Gluth Brothers Roofing Company Inc.|Gluth Brothers Roofing Company Inc.|IN|1|2|51|75521|351850178|'Gluth Brothers Roofing Co. Inc.'|gluth brothers roofing|false
Rain King, Inc.|Rain King, Inc.|TX|1|2|49|92837|742775327|'Rain King Inc.'|rain king|false
North Central Insulation|North Central Insulation|OH|1|2|121|251680|341521877|'North Central Insulation'|north central insulation|false
DePinho Roofing, Inc.|DePinho Roofing, Inc.|CA|1|2|65|133136|330589690|'DePinho Roofing'|depinho roofing|false
RSSI Roofing Company|RSSI Roofing Company|MD|1|2|52|97651|274644285|'RSSI Roofing Company'|rssi roofing|false
Roof Maintenance Systems|Roof Maintenance Systems|NJ|1|2|19|30428|222016917|'Roof Maintenance Systems'|roof maintenance|false
Precision Manufacturing Company Inc.|Precision Manufacturing Company Inc.|OH|1|2|98|179438|310735816|'Precision Construction Services'|precision|false
O'Neal Manufacturing Services Houston|O'Neal Industries|TX|1|2|133|406675|464009440|'O'Neal Construction'|o'neal|false
The Gehringer Corporation|The Gehringer Corporation|PA|1|2|19|38112|232299879|'The Gehringer Corp.'|the gehringer|false
CRAWFORD ROOFING INC.|CRAWFORD ROOFING INC.|OK|1|2|73|5094450|730951924|'Crawford Roofing Corp.', 'Crawford Roofing Inc.'|crawford roofing|true
White Castle Lincoln|White Castle Roofing|NE|1|2|163|313865|753006516|'White Castle Roofing'|white castle roofing|false
URSM|United Roofing & Sheet Metal, Inc.|CT|1|2|41|72053|472424796|'United Roofing & Sheet Metal Inc.'|united roofing & sheet metal|false
Merit Contracting|Merit Contracting|MN|1|2|68|118637|411426936|'Merit Contracting Inc.'|merit contracting|false
A Brooks Roofing Inc|A Brooks Roofing Inc|NJ|1|2|45|91737|222902030|'A Brooks Roofing Inc.'|a brooks roofing|false
Atlas Roofing Corporation|Atlas Roofing Corporation|GA|1|2|42|97279|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
M. Potteiger Inc.|M. Potteiger Inc.|PA|1|2|26|38138|231709914|'M. Potteiger Inc.'|m. potteiger|false
ATLAS ROOFING CORPORATION|ATLAS ROOFING CORPORATION|TX|1|2|107|262372|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Buckhorn Inc|Myers Industries|MO|1|3|325|878254||'Myers Consulting'|myers|false
Environmental Roofing & Waterproofing Main Offices|Environmental Roofing & Waterproofing|CA|1|2|43|60302|770572713|'Environmental Roofing & Waterproofing, Inc.'|environmental roofing & waterproofing|false
Allied Roofing, Inc.|Allied Roofing, Inc.|FL|1|2|28|56584|592690416|'Allied Roofing Inc.'|allied roofing|false
International Roofing Corporation|International Roofing Corporation|VA|1|2|27|42282|541500362|'International Roofing Corp.'|international roofing|false
Blair Rubber Company|IKO Industries LTD|OH|1|2|65|155128|341351173|'IKO Industries'|iko|false
United Manufacturing Inc.|United Manufacturing Inc.|KS|1|2|24|48277|480684406|'United Contractors'|united|false
Construction Roofing|Granite City Roofing, Inc.|MN|1|2|25|34818|411266940|'Granite City Roofing Inc.'|granite city roofing|false
Polartec Tennessee Manufacturing|Milliken & Company|TN|1|2|215|529275||'Milliken & Company'|milliken &|false
Webco Industries - Mannford Speciality Tube|Webco Industries|OK|1|2|230|467126|731097133|'WEBCO Services LLC'|webco|false
CertainTeed Corporation Williamsport Maryland|CertainTeed Corporation|MD|1|3|314|602216||'CertainTeed LLC'|certainteed|false
Boak & Sons, Inc.|Boak & Sons, Inc.|OH|1|2|154|229301|341368121|'Boak & Sons Inc.'|boak & sons|false
Custofoam Corporation|Custofoam Corporation|WI|1|2|21|36370|391178726|'Custofoam Corp.'|custofoam|false
Nu-Tec Roofing Contractors|Nu-Tec Roofing Contractors LLC|IN|1|2|60|127813|352114307|'Nu-Tec Roofing Contractors LLC'|nu-tec roofing|false
Restoration Systems Inc.|Restoration Systems Inc.|MN|1|2|45|87064|411890683|'Restoration Services Inc.'|restoration|false
300 A|TRANS COASTAL CONSTRUCTION|FL|1|2|12|20194||'Trans Coastal Construction'|trans coastal|false
Anderson Global Inc.|Anderson Global Inc.|MI|1|2|70|158120|382413917|'Anderson Associates'|anderson|false
Red Pointe Roofing, LP|Red Pointe Roofing, LP|CA|1|2|94|192134|900957014|'Red Pointe Roofing'|red pointe roofing|false
Weathergard Inc|Weathergard Inc|NC|1|2|29|51950||'Weathergard Inc.'|weathergard|false
RSI of Florida, LLC|RSI of Florida, LLC|FL|1|2|47|102202|592574965|'RSI of Florida Inc.'|rsi of florida|false
MRC Roofing, LLC|MRC Roofing, LLC|HI|1|2|32|56851|274488625|'MRC Roofing LLC'|mrc roofing|false
Commercial Roofing Contractor|Interstate Roofing Co Inc|NC|1|2|34|78489||'Interstate Roofing Inc.'|interstate roofing|false
O'Neal Manufacturing Services|O'Neal Manufacturing Services|IN|1|2|109|262929|464009446|'O'Neal Construction'|o'neal|false
Viking Roofing, Inc|Viking Roofing, Inc|NH|1|2|15|29148||'Viking Roofing Inc.'|viking roofing|false
Commonwealth Building Inc.|Commonwealth Building Inc.|MA|1|2|32|66560|42706053|'Commonwealth Building Systems LLC'|commonwealth building|false
McEnany Roofing, Inc T|McEnany Roofing, Inc|FL|1|2|145|263514|592583665|'McEnany Roofing Inc.'|mcenany roofing|false
Port Industries Inc|Port Industries Inc|MO|1|2|48|91635|340904575|'Port Enterprises', 'Port Enterprises Ltd.'|port|true
Cardinal Roofing, Inc.|Cardinal Roofing, Inc.|TX|1|2|55|118974|751802132|'Cardinal Roofing', 'Cardinal Roofing Inc.'|cardinal roofing|true
Pro Services Construction|Pro Services Construction|KY|1|2|18|42997|920193998|'Pro Services CO LLC'|pro|false
King of Texas Roofing|King of Texas Roofing|TX|1|2|69|143899|752969578|'King of Texas Roofing Company LP'|king of texas roofing|false
Gustav Keoni dba Precision Construction Services|Precision Construction Services|CA|1|2|43|72187||'Precision Construction Services'|precision|false
A.H. Sturgill Roofing, Inc.|A.H. Sturgill Roofing, Inc.|OH|1|2|24|41233|311366660|'A.H. Sturgill Roofing Inc.'|a.h. sturgill roofing|false
Tri-State Roofing & Sheet Metal Company|Tri-State Roofing & Sheet Metal|WV|1|2|23|37756|471425515|'Tri-State Roofing & Sheet Metal Company'|tri-state roofing & sheet metal|false
Haydon Corporation TX|Haydon Corporation|TX|1|2|45|102552||'Haydon Corporation'|haydon|false
AOC Tennessee Resins|Alpha Corporation|TN|1|2|66|166178||'Alpha Construction Services'|alpha|false
Haydon Corporation CA|Haydon Corporation|CA|1|2|23|40447||'Haydon Corporation'|haydon|false
Haydon Corporation NJ|Haydon Corporation|NJ|1|2|142|309957||'Haydon Corporation'|haydon|false
Gillespie Roofing, Inc.|Gillespie Roofing, Inc.|WA|1|2|12|20867|911334128|'Gillespie Roofing Inc.'|gillespie roofing|false
6304_14768|Architectural Metals Inc|MI|1|2|44|77865|382755753|'Architectural Metals, Inc.'|architectural metals|false
Saukville|JT Rams LLC|WI|1|2|23|37409||'JT Rams'|jt rams|false
Scott Construction Corporation|Scott Construction Corporation|ME|1|2|21|40000|453355039|'Scott Enterprises Inc.'|scott|false
Platinum Roofing, LLC|Platinum Roofing, LLC|AR|1|2|43|128012|472769625|'Platinum Roofing', 'Platinum Roofing LLC', 'Platinum Roofing Solutions INC'|platinum roofing|true
warehouse|JRT Top Notch Roofs, LLC|WI|1|2|10|17500||'JRT Top Notch Roofs LLC'|jrt top notch roofs|false
Boone County Headquarters (Monarch Construction Company)|Monarch Construction Company|KY|2|2|62|114154|7615800|'Monarch Consulting Services'|monarch|false
Shay Roofing Inc.|Shay Roofing INC.|IL|1|2|57|81258|371298422|'Shay Roofing Inc.'|shay roofing|false
FoB 10|Function Inc.|PA|1|2|157|280164|474804405|'Function Enterprises Inc.'|function|false
FoB 8|Function Inc.|MI|1|2|144|274327|474804405|'Function Enterprises Inc.'|function|false
FoB 9|Function Inc.|NY|1|1|52|98880|474804405|'Function Enterprises Inc.'|function|false
James R. Walls Contracting|James R. Walls Contracting|MD|1|2|43|77993|521085544|'James R. Walls Contracting Co. Inc.'|james r. walls contracting|false
Huntsman Building Solutions - Arlington TX|Huntsman Building Solutions|TX|1|2|120|284326|463224688|'Huntsman Building Solutions'|huntsman building|false
Atlas Molded Products, A Division of Atlas Roofing Corporation|Atlas Roofing Corporation|IA|1|2|53|104645|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Apple Roofing Corp.|Apple Roofing Corp.|NY|1|2|51|62817|161198739|'Apple Roofing Corp.'|apple roofing|false
Detwiler Roofing, LLC|Detwiler Roofing, LLC|PA|1|2|50|70769|460559033|'Detwiler Roofing LLC'|detwiler roofing|false
JDH Company Inc.|JDH Company|TN|1|2|55|162333||'JDH Co. Inc.'|jdh|false
Cylinder Manufacturing Valve & Pump Plant|Cross Manufacturing|KS|1|2|59|111818|480668545|'Cross Construction CO. INC.'|cross|false
B-E Controls LLC|B-E Controls LLC|WI|1|1|8|14069|454536522|'B-E Controls'|b-e controls|false
Atlas - Phoenix|Atlas Roofing Corp|AZ|1|2|22|50190|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
