establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
Saukville|JT Rams LLC|WI|1|21|30|43232|452862309|'JT Rams'|jt rams|false
warehouse|JRT Top Notch Roofs, LLC|WI|1|21|20|23462|452933462|'JRT Top Notch Roofs LLC'|jrt top notch roofs|false
Myerstown|GAF|PA|1|2|150|310500|741925368|'GAF'|gaf|false
Corporate Office|GAF|NJ|1|3|746|3742560|364866695|'GAF'|gaf|false
Dallas|GAF|TX|1|2|154|310725|205980312|'GAF'|gaf|false
ATLAS ROOFING CORPORATION|ATLAS ROOFING CORPORATION|TX|1|2|107|264759|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
White Castle Lincoln|White Castle Roofing|NE|1|22|192|382180|753006516|'White Castle Roofing'|white castle roofing|false
A Brooks Roofing Inc|A Brooks Roofing Inc|NJ|1|21|59|88745|222902030|'A Brooks Roofing Inc.'|a brooks roofing|false
Phoenix|GAF|AR|1|2|27|62047|270673916|'GAF'|gaf|false
Stockton|GAF|CA|1|2|32|82588|223626208|'GAF'|gaf|false
New Columbia TPO|GAF|PA|1|22|105|270764|813158452|'GAF'|gaf|false
Owens Corning Gastonia|Owens Corning|NC|1|2|82|164825|743189734|'Owens Corning'|owens corning|false
Gustav Keoni dba Precision Construction Services|Precision Construction Services|CA|1|21|43|66821||'Precision Construction Services'|precision|false
Aspen Group LTD.|BlueThread Services|CO|1|21|70|195250||'BlueThread Services'|bluethread|false
B-E Controls LLC|B-E Controls LLC|WI|1|1|8|8203|454536522|'B-E Controls'|b-e controls|false
Four Seasons Atlanta|Four Seasons|GA|1|3|274|415781|582297566|'Four Seasons Construction LLC'|four seasons|false
Hart Street Warehouse|Window World, Inc.|HI|1|2|70|134400|942978093|'Window World Inc.'|window world|false
Gluth Brothers Roofing Company Inc.|Gluth Brothers Roofing Company Inc.|IN|1|21|63|93312|351850178|'Gluth Brothers Roofing Co. Inc.'|gluth brothers roofing|false
Great Lakes Manufacturing|Great Lakes Manufacturing|PA|1|2|88|197859|232922556|'Great Lakes Systems Inc.'|great lakes|false
Aspen Contracting Inc|Aspen Contracting Inc|MO|1|3|235|470000|510587434|'Aspen Contracting Inc.'|aspen contracting|false
Roof Maintenance Systems|Roof Maintenance Systems|NJ|1|21|18|28777|222016917|'Roof Maintenance Systems'|roof maintenance|false
Industrial Cork|Industrial Cork|IL|1|2|18|36651|362068142|'Industrial Cork Co. Inc.'|industrial cork|false
Restoration Systems Inc|Restoration Systems Inc|MN|1|21|78|119700|411890683|'Restoration Services Inc.'|restoration|false
Aderhold Roofing Corporation|Aderhold Roofing|FL|1|21|48|88607|275227926|'Aderhold Roofing'|aderhold roofing|false
