establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name
Stiles Roofing Inc|Stiles Roofing Inc|MO|1|21|35|60703|431228600|'Stiles Roofing Inc.'|stiles roofing
RSI of Florida, LLC|RSI of Florida, LLC|FL|1|21|40|80928|592574965|'RSI of Florida Inc.'|rsi of florida
Rayco Roof Service, Inc.|Rayco Roof Service, Inc.|VA|1|21|19|33191|541142276|'Rayco Roof Service Inc.'|rayco roof service
Corporate Office|GAF|NJ|1|3|746|4092370|364866695|'GAF'|gaf
All-South Subcontractors Birmingham|All-South Subcontractors, Inc.|AL|1|21|77|154014||'All-South Subcontractors, Inc.'|all-south subcontractors
All-South Subcontractors Pensacola|All-South Subcontractors, Inc.|FL|1|1|10|16001||'All-South Subcontractors, Inc.'|all-south subcontractors
McDowall Company|McDowall Company|MN|1|2|118|262482|410946275|'McDowall Co.'|mcdowall
American Building Systems LLC.|American Building Systems LLC|NV|1|22|235|2090886|463600668|'American Building Contractors Inc'|american building
Carolina Asphalt|Brothers National|NC|1|2|43|82175|873875709|'Brothers Services Co.'|brothers
Port Industries Inc|Port Industries Inc|MO|1|21|48|88215|340904575|'Port Enterprises', 'Port Enterprises Ltd.'|port
COOPER ROOFING & SOLAR, INC.|COOPER ROOFING & SOLAR, INC.|NV|1|3|373|824968|270365569|'Cooper Roofing & Solar INC'|cooper roofing & solar
atlas|atlas roofing corporation|TX|1|21|43|102754|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing
US Ply, Inc - Corp|US Ply, Inc|TX|1|2|71|143723||'US Ply Inc.'|us ply
OKC - Southwest Tube|Webco Industries|OK|1|3|240|530100|731097133|'WEBCO Services LLC'|webco
Oil City Tube Division|Webco Industries Inc.|PA|1|22|168|344793|731097133|'WEBCO Services LLC'|webco
Colorado Moisture Control, Inc.|Colorado Moisture Control, Inc.|CO|1|21|78|177871|840866575|'Colorado Moisture Control Inc.'|colorado moisture control
Monarch Instrument|Monarch International Inc|NH|1|2|41|79643|020333450|'Monarch Consulting Services'|monarch
A Brooks Roofing Inc|A Brooks Roofing Inc|NJ|1|21|48|82823|222902030|'A Brooks Roofing Inc.'|a brooks roofing
JB Roofing a Tecta America Company LLC|JB Roofing a Tecta America Company LLC|OH|1|21|16|32291|814397282|'JB Roofing a Tecta America Company LLC'|jb roofing a tecta america
Tecta America Birmingham|Tecta America Southeast, LLC.|AL|1|22|35|84179||'Tecta America Southeast LLC'|tecta america southeast
OMG Building Products LLC|OMG Building Products LLC|MA|1|3|575|1081089|043228936|'OMG Building Products LLC'|omg building products
Royal Manufacturing - Buda Facility|Royal Manufacturing|TX|1|1|11|21080|471169363|'Royal industries LLC'|royal
Delta Contracting Inc.|Delta Contracting Inc.|NC|1|2|122|272566|561880490|'Delta Contracting Services Inc.'|delta contracting
BMR1|Brockway Mechanical & Roofing, Inc.|IA|1|2|60|124203|421232251|'Brockway Mechanical & Roofing Co. Inc.'|brockway mechanical & roofing
BMR2|Brockway Mechanical & Roofing, Inc.|IA|1|2|50|103829|421232251|'Brockway Mechanical & Roofing Co. Inc.'|brockway mechanical & roofing
Advanced Industrial Roofing, Inc.|Advanced Industrial Roofing, Inc.|OH|1|21|60|99928||'Advanced Industrial Roofing Inc.'|advanced industrial roofing
O'Neal Roofing Company|O'Neal Roofing Company|FL|1|21|25|36571|592015309|'O'Neal Roofing Co. Inc.'|o'neal roofing
O'Neal Contracting, Inc.|O'Neal Roofing Company|FL|1|2|22|28209|593126643|'O'Neal Roofing Co. Inc.'|o'neal roofing
NRG Joliet Generating Station|NRG|IL|1|2|14|31367|463985344|'NRG Construction LLC'|nrg
McEnany Roofing, Inc T|McEnany Roofing, Inc|FL|1|22|110|224524|592583665|'McEnany Roofing Inc.'|mcenany roofing
CFS Roofing|CFS Roofing|FL|1|3|236|425044|274953359|'CFS Roofing Services'|cfs roofing
Jolly Roofing & Contracting Company Overall|Jolly Roofing and Contracting|TN|1|3|254|431397|621624798|'Jolly Roofing and Contracting Co. Inc.'|jolly roofing and contracting
Skyline Roofing Inc.|Skyline Roofing, Incorporated|VA|1|21|95|186518|205864185|'Skyline Roofing Inc.', 'Skyline Roofing Services LLC'|skyline roofing
Ashland|Boyd Company|KY|1|2|54|107958|610401854|'Boyd Inc.'|boyd
Bowling Green|Boyd Company|KY|1|2|51|102983|610401854|'Boyd Inc.'|boyd
Corbin|Boyd Company|KY|1|2|116|236492|610401854|'Boyd Inc.'|boyd
Evansville|Boyd Company|IN|1|2|84|167733|610401854|'Boyd Inc.'|boyd
Lexington|Boyd Company|KY|1|2|132|268277|610401854|'Boyd Inc.'|boyd
Louisville Support Center|Boyd Company|KY|1|2|150|278881|610401854|'Boyd Inc.'|boyd
Paducah|Boyd Company|KY|1|2|61|135044|610401854|'Boyd Inc.'|boyd
Pikeville|Boyd Company|KY|1|2|94|204676|610401854|'Boyd Inc.'|boyd
Elizabethtown|Boyd Company|KY|1|2|51|104110|610401854|'Boyd Inc.'|boyd
Louisville|Boyd Company|KY|1|2|138|265007|610401854|'Boyd Inc.'|boyd
Belle|Boyd Company|WV|1|2|114|234647|610401854|'Boyd Inc.'|boyd
Beckley Hydraulic|Boyd Company|WV|1|2|24|47841|610401854|'Boyd Inc.'|boyd
Beckley|Boyd Company|WV|1|2|80|179861|610401854|'Boyd Inc.'|boyd
Nitro|Boyd Company|WV|1|2|51|101754|610401854|'Boyd Inc.'|boyd
Parkersburg|Boyd Company|WV|1|2|32|55589|610401854|'Boyd Inc.'|boyd
King of Texas Roofing|King of Texas Roofing|TX|1|21|67|118250|752969578|'King of Texas Roofing Company LP'|king of texas roofing
Molloy Roofing Company|Molloy Roofing Company|OH|1|21|44|87029|310787317|'Molloy Roofing Co.'|molloy roofing
Harness Roofing HS|Harness Roofing, Inc.|AR|1|21|53|116812|710654212|'Harness Roofing Inc.'|harness roofing
Harness Roofing SD|Harness Roofing, Inc.|AR|1|21|79|174116|710654212|'Harness Roofing Inc.'|harness roofing
