establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
|10 Gage Ridge Roofing||||||||10 gage ridge roofing|false
101 Inc|101 Industries||1.00|2.00|41.00|85280.00|371168221|'101 Inc'|101|false
101 Inc, Archdale|101 Industries||1.00|2.00|17.00|35360.00|371168221|'101 Inc'|101|false
|180 Contractors||||||||180|false
|1st 4 Roofing Services||||||||1st 4 roofing|false
|1st Choice Roofing Contractors||||||||1st choice roofing|false
|1st Roofing Maple Grove||||||||1st roofing maple grove|false
|1st Roofing Services||||||||1st roofing|false
|3 Clovers Roofing & Construction||||||||3 clovers roofing &|false
|360 Roofing Services||||||||360 roofing|false
|3MG Roofing & Solar||||||||3mg roofing & solar|false
|3MG Roofing and Solar||||||||3mg roofing and solar|false
|4th Generation - Flat Roofing Services||||||||4th generation - flat roofing|false
|A & L Roofing Services||||||||a & l roofing|false
|A A Abbey Roofing & Building Contractors||||||||a a abbey roofing & building|false
|A Affordable Roofing & Services||||||||a affordable roofing &|false
|A Call Away Roofing||||||||a call away roofing|false
|A J H Metal Roofing And Cladding||||||||a j h metal roofing and cladding|false
|A P Benson Roofing & Building||||||||a p benson roofing & building|false
|A-1 All American Roofing San Diego||||||||a-1 all american roofing san diego|false
|A-best Roofing||||||||a-best roofing|false
|A-J Roofing||||||||a-j roofing|false
|A-L-S Roofing||||||||a-l-s roofing|false
|A. 1. Alston Roofing Services||||||||a. 1. alston roofing|false
|A.Baul Roofing Contractors||||||||a.baul roofing|false
|A.J. Donald Roofing Services||||||||a.j. donald roofing|false
|A.J.L. Roofing Contractors||||||||a.j.l. roofing|false
|A&A Roofing Services||||||||a&a roofing|false
|A&D Roofing And Building Services||||||||a&d roofing and building|false
|A&E Brothers Roofing||||||||a&e brothers roofing|false
|A1 Pro Services Roofing||||||||a1 pro services roofing|false
|A1 Roofing||||||||a1 roofing|false
|A1 Roofing System||||||||a1 roofing system|false
|Aa Roofing Services||||||||aa roofing|false
|AAA Roofing||||||||aaa roofing|false
|AAA ROOFING SERVICES||||||||aaa roofing|false
|AAAA Contractors and Roofing||||||||aaaa contractors and roofing|false
|Abbey Roofing Contractors||||||||abbey roofing|false
|ABC Roofing Co.||||||||abc roofing|false
|Able Roofing||||||||able roofing|false
|Able Roofing Services||||||||able roofing|false
|Able Roofing Services Nottingham||||||||able roofing services nottingham|false
Absolute Construction Enterprises, Inc.|Absolute Construction||1.00|2.00|20.00|35873.00|391668123|'Absolute Construction Enterprises Inc.'|absolute|true
Absolute Concrete Construction|Absolute Construction||1.00|2.00|104.00|182644.00|391953384|'Absolute Group Inc.'|absolute|true
Absolute Infrastructure|Absolute Construction||1.00|2.00|37.00|65843.00|811649587|'Absolute Group Inc.'|absolute|true
Caruth Construction Inc.|Absolute Construction||1.00|2.00|75.00|141305.00|824459231|'Absolute Group'|absolute|true
