company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|website|match_company_name|stripped_company_name|company_name_multiple_match
10 Gage Ridge Roofing|||||||10gageridgeroofing.com||10 gage ridge roofing|false
101 Industries||1|42|80|187200|371168221|www.101industries.com|'101 Inc'|101|false
180 Contractors|||||||www.180contractors.com||180|false
1st 4 Roofing Services|||||||1st4roofing.co.uk||1st 4 roofing|false
1st Choice Roofing Contractors||1|21|19|35298|113793690|1stchoiceroofingvt.com|'1st Choice Roofing Company'|1st choice roofing|false
1st Roofing Maple Grove|||||||www.1stroofingmaplegrovemn.com||1st roofing maple grove|false
1st Roofing Services|||||||1st4roofingservicesltd.co.uk||1st roofing|false
3 Clovers Roofing & Construction|||||||3cloversconstruction.com||3 clovers roofing &|false
360 Roofing Services|||||||360roofingservices.com||360 roofing|false
3MG Roofing & Solar|||||||www.3mg.com||3mg roofing & solar|false
3MG Roofing and Solar|||||||3mgroofing.com||3mg roofing and solar|false
4th Generation - Flat Roofing Services|||||||unknown||4th generation - flat roofing|false
A & L Roofing Services|||||||alroofingleeds.com||a & l roofing|false
A A Abbey Roofing & Building Contractors|||||||aaabbeyroofing.co.uk||a a abbey roofing & building|false
A Affordable Roofing & Services|||||||aaffordableroofing.com||a affordable roofing &|false
A Call Away Roofing|||||||www.acallawayroofing.com||a call away roofing|false
A J H Metal Roofing And Cladding|||||||ajhroofingltd.co.uk||a j h metal roofing and cladding|false
A P Benson Roofing & Building|||||||ap-benson.co.uk||a p benson roofing & building|false
A-1 All American Roofing San Diego|||||||www.americanroofco.com||a-1 all american roofing san diego|false
A-best Roofing|||||||abestroofing.com||a-best roofing|false
A-J Roofing|||||||www.a-jroofing.com||a-j roofing|false
A-L-S Roofing|||||||alsroofing.com||a-l-s roofing|false
A. 1. Alston Roofing Services|||||||a-1-roofing.com||a. 1. alston roofing|false
A.Baul Roofing Contractors|||||||unknown||a.baul roofing|false
A.J. Donald Roofing Services|||||||donaldroofing.co.uk||a.j. donald roofing|false
A.J.L. Roofing Contractors|||||||ajlroofing.co.uk||a.j.l. roofing|false
A&A Roofing Services|||||||aandaroof.com||a&a roofing|false
A&D Roofing And Building Services|||||||aanddroofingservices.co.uk||a&d roofing and building|false
A&E Brothers Roofing|||||||www.aebrothersroofing.com||a&e brothers roofing|false
A1 Pro Services Roofing|||||||www.a1proservicesroofing.com||a1 pro services roofing|false
A1 Roofing|||||||a1-roofing.net||a1 roofing|false
A1 Roofing System|||||||a1roofingsystem.com||a1 roofing system|false
Aa Roofing Services|||||||aaabbeyroofing.com||aa roofing|false
